Task Period,Task Deadline,Paquet(s) Envoyé(s),Paquet(s) Reçu(s),Échéance(s) Manquée(s)
100000,10000,1000,1000,0
80000,8000,1000,1000,0
60000,6000,1000,1000,0
40000,4000,1000,1000,0
20000,2000,1000,1000,0
15000,1500,1000,1000,0
12500,1250,1000,1000,1
10000,1000,1000,1000,0
9000,900,1000,1000,0
8000,800,1000,1000,1
7000,700,1000,1000,0
6000,600,1000,1000,7
5000,500,1000,1000,51
4000,400,1000,1000,19
3000,300,1000,1000,211
2000,200,1000,1000,33
1000,100,1000,1000,171
900,90,1000,1000,232
800,80,1000,1000,469
700,70,1000,1000,569
600,60,1000,1000,899
500,50,1000,1000,992
100000,10000,100,65,0
100000,10000,100,61,1
100000,10000,100,84,0
100000,10000,100,61,0
100000,10000,100,51,0
100000,10000,100,63,0
100000,10000,100,48,0
100000,10000,100,52,0
100000,10000,100,54,0
100000,10000,100,49,0
100000,10000,100,51,0
100000,10000,100,56,0
100000,10000,100,58,0
100000,10000,100,54,0
100000,10000,100,50,0
100000,10000,100,54,0
100000,10000,100,51,0
100000,10000,100,51,0
100000,10000,100,53,0
100000,10000,100,70,0
100000,10000,100,57,0
100000,10000,100,100,0
100000,10000,100,100,1
100000,10000,100,100,0
100000,10000,100,100,0
0,0,0,101,0
0,0,0,101,0
0,0,0,101,0
100000,10000,100,101,1
100000,10000,100,101,0
100000,10000,100,101,0
100000,10000,100,101,0
100000,10000,100,101,0
100000,10000,100,101,0
100000,10000,100,101,0
100000,10000,100,100,0
100000,10000,100,101,0
100000,10000,100,101,0
100000,10000,100,101,0
100000,10000,100,101,0
100000,10000,100,101,0
100000,10000,100,101,0
100000,10000,100,101,0
100000,10000,100,101,0
100000,10000,100,101,0
100000,10000,100,101,0
100000,10000,100,100,0
